id,name,x,y,z,receptacle,toggleable,openable,pickupable,distance,parentReceptacles
28,Floor_Lamp_3,1.11186862,0.006054215,6.80502224,False,True,False,False,5.844867,
29,Keychain_1,0.117859647,0.429839522,4.84789228,False,False,False,True,3.78813052,['ArmChair|+00.42|00.00|+05.13']
30,bin_3,-6.12875,0.006054215,2.80032015,True,False,False,False,3.25628734,
31,LightSwitch3,-6.5,1.498,1.346,False,True,False,False,3.817124,
32,Boot_1,-6.30999327,0.006700963,1.25298953,False,False,False,True,3.74269,
33,Pencil_5,-4.49015951,0.752438366,-0.185823232,False,False,False,True,3.29598832,['TableTop|-04.30|+00.01|-00.38']
34,Laptop_3,0.379,0.541804969,2.834,False,True,True,True,3.399721,['TableTop|+00.41|+00.01|+02.61']
35,DecorativeBox3,0.463227123,0.541804969,2.24819565,True,False,False,True,3.51840234,['TableTop|+00.41|+00.01|+02.61']
36,Vase_6,-4.196847,0.905,-0.332438856,False,False,False,True,3.30664134,
37,Remote_1,-1.27166069,0.444746137,3.29442167,False,False,False,True,1.87010145,['Sofa|-01.53|+00.02|+02.56']
38,Watch_1,0.239396259,0.541959941,2.5165062,False,False,False,True,3.26825666,['TableTop|+00.41|+00.01|+02.61']
39,Cellphone_8,-3.75130773,0.7484193,-0.0955624,False,False,False,True,2.947347,['TableTop|-04.30|+00.01|-00.38']
40,Houseplant_3,-0.753,0.8740145,0.209,False,False,False,False,3.39216471,['TableTop|-01.03|+00.01|+00.16']
41,Open_Book_2,-4.056,0.7543086,-0.10599827,False,False,False,True,3.048802,['TableTop|-04.30|+00.01|-00.38']
42,WindowLarge (1),1.497,1.712,4.455,False,False,False,False,4.876266,
43,WindowLarge,-4.21,1.578,-1.98,False,False,False,False,4.92820168,
id,name,x,y,z,receptacle,toggleable,openable,pickupable,distance,parentReceptacles
1,Chair (1),-0.411,0.0017664,4.452,False,False,False,False,1.90347362,
2,Chair (6),-1.359,0.019,-2.577,False,False,False,False,5.64757,
3,Sofa,-2.161,0.00131513178,6.115,True,False,False,False,3.36822557,
4,Painting,-3.369,1.741,-0.2985,False,False,False,False,4.00919676,
5,Shelf (1),-4.2537,1.3069,0.771,True,False,False,False,3.76222587,
6,Chair (2),-0.637,0.0017664,0.994,False,False,False,False,2.2827158,
7,GlassTable,-1.96584785,0.0037908,4.187356,True,False,False,False,1.6521492,
8,Painting,-1.756,1.424,-3.596,False,False,False,False,6.63591766,
9,Chair (3),-1.38,0.019,-1.592,False,False,False,False,4.677992,
10,Table,-1.784,0.007,-2.039825,True,False,False,False,5.14651155,
11,Chair,-0.365,0.0017664,3.595736,False,False,False,False,1.39610636,
12,Drawer (2),-0.00141860545,0.1656,1.24307489,True,False,True,False,2.27782559,
13,Shelf (2),-4.2537,1.691,0.771,True,False,False,False,3.82265329,
14,Chair (5),-2.263,0.019,-2.64,False,False,False,False,5.797932,
15,Desk,-0.247,0.003,1.40899992,True,False,False,False,2.08471966,
16,Table,-0.201,-0.0057,5.898,True,False,False,False,3.21298838,
17,ArmChair,-2.629,-0.004,2.421,True,False,False,False,1.748796,
18,Sofa (1),-3.811,0.00131513178,4.152,True,False,False,False,2.94917369,
19,Chair (4),-2.151,0.019,-1.621,False,False,False,False,4.790166,
20,Drawer (1),-0.00141860545,0.5813,1.24307489,True,False,True,False,2.17917228,
21,Shelf,-4.261,0.8332,0.771,True,False,False,False,3.74691081,
22,Drawer (4),0.414000034,0.3736169,1.24307489,True,False,True,False,2.47693419,
23,Drawer,-0.00141860545,0.3736169,1.24307477,True,False,True,False,2.21929336,
24,Drawer (5),0.414000034,0.165600047,1.24307489,True,False,True,False,2.52951169,
25,Drawer (3),0.414000034,0.5813,1.24307489,True,False,True,False,2.44105148,
26,Floor_Lamp_4,0.392,0.00131513178,5.157,False,True,False,False,2.85667872,
27,DecorativeBox1,-1.68015718,0.4405635,4.450987,True,False,False,True,1.58228052,['TableTop|-01.97|+00.00|+04.19']
28,Vase_Tall_4,-4.20941448,1.64629436,1.156257,False,False,False,True,3.56525278,['Shelf|-04.25|+01.69|+00.77']
29,Cellphone_1,-2.21699977,0.4412228,3.809,False,False,False,True,1.3424511,['TableTop|-01.97|+00.00|+04.19']
30,Stone_Statue_2,-1.9488107,0.506,4.12230539,False,False,False,True,1.38020682,['TableTop|-01.97|+00.00|+04.19']
31,Watering_Can_1,-3.58073759,0.000455342233,5.50084543,False,False,False,True,3.535522,
32,Keychain_1,-1.19855607,0.7359591,1.53815913,False,False,False,True,1.472175,['Desk|-00.25|+00.00|+01.41']
33,Vase_Tall_1,-4.24254131,0.7890503,1.18166792,False,False,False,True,3.503493,['Shelf|-04.26|+00.83|+00.77']
34,Glass_Vase_2,-4.22882175,0.7890503,0.756116331,False,False,False,True,3.73111534,['Shelf|-04.26|+00.83|+00.77']
35,Dog_Statue_3,-4.235,1.26349437,1.015,False,False,False,True,3.602902,['Shelf|-04.25|+01.31|+00.77']
36,Laptop_4,-0.595,0.734983444,1.308,False,True,True,True,1.82205617,['Desk|-00.25|+00.00|+01.41']
37,Window (1),-4.411,1.702,1.788,False,False,False,False,3.47855735,
38,Window (3),-3.638,1.702,6.735,False,False,False,False,4.504694,
39,Window,-4.410583,1.702,2.791,False,False,False,False,3.2668736,
40,Window (4),-0.132,1.702,6.735,False,False,False,False,3.97990537,
41,Window (2),-4.411,1.702,5.98,False,False,False,False,4.417218,
42,pillow_4,-3.58702278,0.643,5.016,False,False,False,True,3.097285,['Sofa|-03.81|+00.00|+04.15']
43,Television_4,-0.236,1.174,5.815,False,False,False,False,3.00436926,['TableTop|-00.20|-00.01|+05.90']
44,bin_4,0.423,0.00131513178,2.044,True,False,False,False,2.12712574,
45,Remote_2,-0.0575174876,0.6843611,5.396462,False,False,False,True,2.68561864,['TableTop|-00.20|-00.01|+05.90']
46,Desk_Lamp_13,0.277,0.734983444,1.381,False,True,False,False,2.23179054,['Desk|-00.25|+00.00|+01.41']
47,Houseplant_4,-3.935,0.001,5.974,False,False,False,False,4.10685635,
48,CreditCard_2,-1.157902,0.734983444,1.67479527,False,False,False,True,1.33889854,['Desk|-00.25|+00.00|+01.41']
49,Vase_3,-4.22549725,0.7890503,0.3822019,False,False,False,True,3.96475458,['Shelf|-04.26|+00.83|+00.77']
50,LightSwitch4,-2.741,1.495,-0.405,False,True,False,False,3.764091,
51,Hand_Statue_3,-4.22306252,1.26349437,0.399028182,False,False,False,True,3.966687,['Shelf|-04.25|+01.31|+00.77']
52,Safe,0.1974,0.00131513178,-0.1021,True,False,True,False,3.53974438,
id,name,x,y,z,receptacle,toggleable,openable,pickupable,distance,parentReceptacles
1,WickerArmChair,-3.545,0.0,3.58,True,False,False,False,1.89880264,
2,Curtains,-0.03767286,2.148098,0.9992118,False,False,False,False,3.366289,
3,WickerChair (3),-1.627,0.0,0.779,False,False,False,False,2.04645944,
4,Drawer (2),-3.4752,0.160204,6.711102,True,False,True,False,4.792626,
5,Drawer,-2.927182,0.160204,6.711102,True,False,True,False,4.76956463,
6,WickerChair,-2.151,0.0,1.285,False,False,False,False,1.42970359,
7,GlassTable,-1.592008,0.3145463,1.274078,True,False,False,False,1.68922436,
8,EndTable (1),-2.071,-0.001,6.699,True,False,False,False,4.87416363,
9,Painting,-0.0165,2.061496,5.38,False,False,False,False,4.655334,
10,EndTable,-0.24373059,0.00359106064,3.52417278,True,False,False,False,3.27501,
11,WickerChair (1),-1.55,0.0,1.781,False,False,False,False,1.72118783,
12,Drawer (1),-2.927182,0.469600022,6.711102,True,False,True,False,4.73138428,
13,Drawer (3),-3.4752,0.469600022,6.711102,True,False,True,False,4.75463057,
14,Ottoman,-2.43,0.0286,4.413,True,False,False,False,2.62845373,
15,Dresser,-3.201,-0.008,6.791,True,False,False,False,4.88063431,
16,WickerChair (2),-1.076,0.0,1.293,False,False,False,False,2.23911834,
17,bin_5,-0.2569995,0.000126183033,6.79974556,True,False,False,False,5.601197,
18,Watch_2,-2.19760132,0.833278239,6.58306646,False,False,False,True,4.65327263,['TableTop|-02.07|00.00|+06.70']
19,ArmChair,-2.449,0.009774671,3.501,True,False,False,False,1.830603,
20,Floor_Lamp_5,-4.721,0.000126183033,3.687,False,True,False,False,2.57286024,
21,Watering_Can_1,-0.208213255,-0.000733479857,3.225628,False,False,False,True,3.17955756,
22,Laptop_5,-1.68310452,0.747589,1.48901808,False,True,True,True,1.42087638,['TableTop|-01.59|+00.31|+01.27']
23,Television_5,-3.193,1.177,6.782,False,False,False,False,4.793838,['Dresser|-03.20|-00.01|+06.79']
24,CreditCard_1,-2.233719,0.832119644,6.68207264,False,False,False,True,4.744866,['TableTop|-02.07|00.00|+06.70']
25,Keychain_1,-1.46029437,0.7482812,1.72728121,False,False,False,True,1.57112384,['TableTop|-01.59|+00.31|+01.27']
26,Sofa,-4.425621,0.009774671,5.062,True,False,False,False,3.4932425,
27,Houseplant_5,-0.172744751,0.615160763,3.99460363,False,False,False,False,3.47182822,['TableTop|-00.24|+00.00|+03.52']
28,LightSwitch5,-3.484,1.471,0.001,False,True,False,False,2.134248,
29,Statue_Waving_Man_3,-1.44095409,0.747589,1.22974753,False,False,False,True,1.74570513,['TableTop|-01.59|+00.31|+01.27']
30,DecorativeBox2,-2.01423049,0.832119644,6.65813732,True,False,False,True,4.761801,['TableTop|-02.07|00.00|+06.70']
31,pillow_5,-4.335,0.465,4.398,False,False,False,True,2.77899861,['Sofa|-04.43|+00.01|+05.06']
32,Remote_1,-3.729047,0.6918287,6.78452,False,False,False,True,4.84426975,['Dresser|-03.20|-00.01|+06.79']
33,Desk_Lamp_8,-0.257995278,0.6160885,3.31200528,False,True,False,False,3.053063,['TableTop|-00.24|+00.00|+03.52']
34,EndTable,-4.191,-0.001,3.588,True,False,False,False,2.18037939,
35,WindowLarge,-0.009,1.341,1.725,False,False,False,False,3.035654,
id,name,x,y,z,receptacle,toggleable,openable,pickupable,distance,parentReceptacles
1,TVStand (1),-1.738,0.0,-1.058,True,False,False,False,3.7546382,"['Shelf|-01.64|+00.41|-01.62', 'Shelf|-01.64|+00.56|-01.62', 'Shelf|-01.74|+00.16|-01.05', 'Shelf|-01.63|+00.16|-01.62', 'Shelf|-01.66|+00.16|-00.46', 'Shelf|-01.64|+00.47|-00.46']"
2,Shelf (1),-1.63599837,0.4117,-1.62099969,True,False,False,False,3.78576779,
3,Shelf (2),-1.64099836,0.5615,-1.62099969,True,False,False,False,3.77382684,
4,Shelf (5),-1.73672593,0.163,-1.04860091,True,False,False,False,3.715032,
5,Shelf,-1.63299835,0.1637,-1.62099969,True,False,False,False,3.82307839,
6,CoffeeTable,0.017,-0.000500002352,-1.109,True,False,False,False,2.24630165,
7,Shelf (6),-1.8316,1.3169,-2.4117,True,False,False,False,4.33787155,
8,Shelf (4),-1.66300178,0.163,-0.4649998,True,False,False,False,3.52270484,
9,Shelf (7),-1.8316,1.612,-2.4117,True,False,False,False,4.37603426,
10,Sofa,0.133,0.0,1.191,True,False,False,False,2.2011292,
11,ArmChair,2.293,0.013,-2.021,True,False,False,False,2.27328658,
12,Shelf (3),-1.64400172,0.4675,-0.464999735,True,False,False,False,3.45302677,
13,Painting,0.173,1.782,1.934,False,False,False,False,2.64640284,
14,Houseplant_6,-1.65101671,0.753083646,-1.79213321,False,False,False,False,3.84714627,['TableTop|-01.74|+00.00|-01.06']
15,Shelf (2),0.3595,0.5638,-2.28,True,False,False,False,2.691764,
16,Dog_Statue_2,-1.696471,0.753083646,-1.29476047,False,False,False,True,3.68462276,['TableTop|-01.74|+00.00|-01.06']
17,LightSwitch6,1.406,1.294,1.651,False,True,False,False,1.73164272,
18,Shelf (3),-0.3756,0.4727,-2.252,True,False,False,False,3.126199,
19,Shelf (5),-0.006,0.1708,-2.3895,True,False,False,False,3.05392146,
20,Keychain_1,0.5075468,0.7537759,-2.21021175,False,False,False,True,2.539764,['TableTop|+00.00|+00.00|-02.39']
21,Shelf (4),-0.3751,0.1703,-2.23,True,False,False,False,3.165892,
22,Television_6,-0.00779739,1.234,-2.444,False,False,False,False,3.02884078,['TableTop|+00.00|+00.00|-02.39']
23,Glass_Vase_2,-1.58839607,0.1680836,-0.5314866,False,False,False,True,3.45897841,['Shelf|-01.66|+00.16|-00.46']
24,TVStand,0.0,0.0,-2.391,True,False,False,False,3.09696317,
25,Hand_Statue_1,-1.802,1.31599987,-2.467,False,False,False,True,4.344539,['Shelf|-01.83|+01.32|-02.41']
26,pillow_6,-0.495,0.593,0.955,False,False,False,True,2.45904732,['Sofa|+00.13|+00.00|+01.19']
27,Shelf,0.3595,0.1692,-2.238,True,False,False,False,2.73453188,
28,Laptop_6,-1.732,0.753083646,-0.696,False,True,True,True,3.55395818,['TableTop|-01.74|+00.00|-01.06']
29,Vase_Flat_2,-1.8085258,1.61599994,-2.59743261,False,False,False,True,4.46329355,['Shelf|-01.83|+01.61|-02.41']
30,Stone_Statue_1,0.145677745,0.551,-1.1290803,False,False,False,True,1.99277985,['TableTop|+00.02|00.00|-01.11']
31,Remote_2,2.16101956,0.5044507,-1.855824,False,False,False,True,1.94171846,['ArmChair|+02.29|+00.01|-02.02']
32,Floor_Lamp_6,-1.573,0.0,1.303,False,True,False,False,3.68129563,
33,Glass_Vase_1,0.009522438,0.1680836,-2.2649262,False,False,False,True,2.948952,['Shelf|-00.01|+00.17|-02.39']
34,CreditCard_2,-0.459527522,0.7530836,-2.22740555,False,False,False,True,3.14089561,['TableTop|+00.00|+00.00|-02.39']
35,DecorativeBox3,-1.65444565,0.1680836,-1.07044506,True,False,False,True,3.64324951,['Shelf|-01.74|+00.16|-01.05']
36,Shelf (1),0.3595,0.4137,-2.238,True,False,False,False,2.6794765,
37,bin_6,0.735,0.0,-2.529,True,False,False,False,2.87016821,
38,Vase_Flat_5,-1.82115209,1.616,-2.33279634,False,False,False,True,4.325077,['Shelf|-01.83|+01.61|-02.41']
39,WindowLarge (1),-0.817,1.535,-2.719,False,False,False,False,3.792678,
40,WindowLarge,0.791,1.535,-2.71861362,False,False,False,False,2.951694,
id,name,x,y,z,receptacle,toggleable,openable,pickupable,distance,parentReceptacles
1,Sofa,-1.445,-0.028,0.42,True,False,False,False,2.581175,
2,ArmChair,-0.633,0.0,2.194,True,False,False,False,3.50672555,
3,ArmChair (1),0.397,0.0,2.194,True,False,False,False,3.32024765,
4,Shelf (7),-1.8261,1.6178,-1.6134,True,False,False,False,2.51014018,
5,Table,-1.568,0.0,1.8187,True,False,False,False,3.61019278,
6,CoffeeTable,-0.15,-0.000500002352,0.421,True,False,False,False,1.80400717,
7,Shelf (6),-1.8261,1.318,-1.6134,True,False,False,False,2.44149327,
8,Shelf (2),1.558001,0.5638,0.6025003,True,False,False,False,1.949635,
9,Television_7,1.933,1.239,0.248,False,False,False,False,1.93008745,['TableTop|+01.67|+00.00|+00.24']
10,Shelf (3),1.5299989,0.4727,-0.132599622,True,False,False,False,1.41305387,
11,Laptop_7,-0.196,0.470179319,0.407,False,True,True,True,1.62778091,['TableTop|-00.15|00.00|+00.42']
12,LightSwitch7,-2.0,1.333,3.92,False,True,False,False,5.53561449,
13,Shelf (5),1.6674999,0.1708,0.237,True,False,False,False,1.851058,
14,CreditCard_1,1.528026,0.753083646,0.733750165,False,False,False,True,2.02104068,['TableTop|+01.67|+00.00|+00.24']
15,Keychain_1,1.73794913,0.7539858,0.761451364,False,False,False,True,2.15797162,['TableTop|+01.67|+00.00|+00.24']
16,Shelf (4),1.507999,0.1703,-0.132099509,True,False,False,False,1.51764107,
17,Glass_Vase_2,-1.79079461,1.31599975,-1.77816224,False,False,False,True,2.45468974,['Shelf|-01.83|+01.32|-01.61']
18,TVStand,1.669,0.0,0.243,True,False,False,False,1.92961383,
19,Vase_4,-1.80041933,1.616,-1.78580987,False,False,False,True,2.53390074,['Shelf|-01.83|+01.62|-01.61']
20,Window,-0.217,1.495,-1.879,False,False,False,False,1.28045571,
21,Shelf,1.51600111,0.1692,0.602500439,True,False,False,False,2.03366566,
22,Dog_Statue_4,1.472,0.168,-0.149,False,False,False,True,1.48535275,['Shelf|+01.51|+00.17|-00.13']
23,Houseplant_7,-1.78,0.481942832,1.965,False,False,False,False,3.76367283,['TableTop|-01.57|+00.00|+01.82']
24,pillow_7,-1.235,0.461,-0.025,False,False,False,True,2.03824663,['Sofa|-01.45|-00.03|+00.42']
25,Painting,-2.0,1.577,0.419,False,False,False,False,2.95305562,
26,bin_7,1.76731229,0.0,3.90618062,True,False,False,False,5.14669657,
27,DecorativeBox3,-0.0737582743,0.470179319,0.929106,True,False,False,True,2.05821633,['TableTop|-00.15|00.00|+00.42']
28,Remote_1,1.51364124,0.75478363,-0.212939277,False,False,False,True,1.29163158,['TableTop|+01.67|+00.00|+00.24']
29,Watch_1,1.45788157,0.7532324,0.54170084,False,False,False,True,1.82104743,['TableTop|+01.67|+00.00|+00.24']
30,Floor_Lamp_7,1.229,0.0,3.798,False,True,False,False,4.935995,
31,Shelf (1),1.51600111,0.4137,0.602500439,True,False,False,False,1.95901155,
32,Vase_5,-1.79980278,1.31599987,-1.47010064,False,False,False,True,2.38376021,['Shelf|-01.83|+01.32|-01.61']
33,Painting (1),-0.096,1.579,4.05,False,False,False,False,5.130049,
id,name,x,y,z,receptacle,toggleable,openable,pickupable,distance,parentReceptacles
1,Drawer,1.7468369,0.7781688,1.0928,True,False,True,False,2.81275868,
2,Sofa 1,0.781,0.0,-0.51,True,False,False,False,2.236931,
3,Ottoman,-0.576,0.008174643,1.053,True,False,False,False,1.13257265,
4,Shelf (6),-0.6125,0.8808,-2.832,True,False,False,False,3.3545177,
5,Shelf (7),-0.6125,1.317,-2.832,True,False,False,False,3.38015342,
6,ArmChair,-0.56,0.0,1.951,True,False,False,False,1.76374614,
7,LongTable,-3.101,0.0,-3.614,True,False,False,False,4.706485,
8,EndTable,1.826,0.0,1.0928,True,False,False,False,3.024812,
9,LightSwitch8,-2.6,1.255,-0.775,False,True,False,False,2.07628059,
10,DecorativeBox1,-0.661,0.883,-2.815,True,False,False,True,3.33233714,['Shelf|-00.61|+00.88|-02.83']
11,Shelf (2),-2.13300323,0.5638,0.403499,True,False,False,False,1.186049,
12,Shelf (3),-2.10499668,0.4727,1.1385988,True,False,False,False,1.3462044,
13,bin_8,-1.34368372,0.0,-4.825172,True,False,False,False,5.41178131,
14,Shelf (5),-2.24249983,0.1708,0.769,True,False,False,False,1.46606886,
15,Houseplant_8,0.506,1.0940001,2.236,False,False,False,False,2.30629182,
16,Keychain_1,1.79172671,0.8715807,1.40392041,False,False,False,True,2.93456554,['TableTop|+01.83|+00.00|+01.09']
17,Shelf (4),-2.08299661,0.1703,1.1380986,True,False,False,False,1.45395076,
18,Laptop_8,-2.915,0.7795995,-3.09,False,True,True,True,4.07063437,['TableTop|-03.10|+00.00|-03.61']
19,Dog_Statue_3,-0.42,0.8825625,-2.805,False,False,False,True,3.35555744,['Shelf|-00.61|+00.88|-02.83']
20,TVStand,-2.244,0.0,0.763,True,False,False,False,1.558366,
21,Painting,-0.51,1.74255311,2.404579,False,False,False,False,2.1390965,
